state_id,domain,entity_id,state,attributes,event_id,last_changed,last_updated,created,old_state_id
239622,sensor,sensor.xiaomiht_temp,29.84,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",250334,2021-07-07 20:16:25.507284,2021-07-07 20:16:25.507284,2021-07-07 20:16:25.507284,
239623,sensor,sensor.xiaomiht_humi,83.5,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",250335,2021-07-07 20:16:25.508019,2021-07-07 20:16:25.508019,2021-07-07 20:16:25.508019,
239860,sensor,sensor.sonoffht_humi,86.36,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",250588,2021-07-07 20:39:26.752361,2021-07-07 20:39:26.752361,2021-07-07 20:39:26.752361,
239867,sensor,sensor.sonoffht_temp,29.97,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",250597,2021-07-07 20:39:43.475842,2021-07-07 20:39:43.475842,2021-07-07 20:39:43.475842,
239876,sensor,sensor.sonoffht_humi,84.99,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",250606,2021-07-07 20:39:56.796520,2021-07-07 20:39:56.796520,2021-07-07 20:39:56.796520,239860.0
239880,sensor,sensor.sonoffht_humi,86.36,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",250610,2021-07-07 20:40:26.861851,2021-07-07 20:40:26.861851,2021-07-07 20:40:26.861851,239876.0
239888,sensor,sensor.sonoffht_humi,85.28,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",250618,2021-07-07 20:40:58.150382,2021-07-07 20:40:58.150382,2021-07-07 20:40:58.150382,239880.0
240186,sensor,sensor.xiaomiht_temp,29.87,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",250946,2021-07-07 21:14:54.197501,2021-07-07 21:14:54.197501,2021-07-07 21:14:54.197501,239622.0
240187,sensor,sensor.xiaomiht_humi,83.54,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",250947,2021-07-07 21:14:54.198185,2021-07-07 21:14:54.198185,2021-07-07 21:14:54.198185,239623.0
240428,sensor,sensor.sonoffht_temp,29.85,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",251206,2021-07-07 21:39:44.396320,2021-07-07 21:39:44.396320,2021-07-07 21:39:44.396320,239867.0
240457,sensor,sensor.sonoffht_humi,86.21,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",251235,2021-07-07 21:40:57.799986,2021-07-07 21:40:57.799986,2021-07-07 21:40:57.799986,239888.0
240703,sensor,sensor.xiaomiht_temp,29.96,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",251499,2021-07-07 22:07:31.493929,2021-07-07 22:07:31.493929,2021-07-07 22:07:31.493929,240186.0
240704,sensor,sensor.xiaomiht_humi,83.84,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",251500,2021-07-07 22:07:31.494619,2021-07-07 22:07:31.494619,2021-07-07 22:07:31.494619,240187.0
241035,sensor,sensor.sonoffht_temp,29.76,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",251855,2021-07-07 22:39:45.003792,2021-07-07 22:39:45.003792,2021-07-07 22:39:45.003792,240428.0
241058,sensor,sensor.sonoffht_humi,86.7,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",251878,2021-07-07 22:40:58.427237,2021-07-07 22:40:58.427237,2021-07-07 22:40:58.427237,240457.0
241252,sensor,sensor.xiaomiht_humi,83.94,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",252082,2021-07-07 22:59:28.649551,2021-07-07 22:59:28.649551,2021-07-07 22:59:28.649551,240704.0
241462,switch,switch.airpurifier,off,"{""friendly_name"": ""Air Purifier"", ""icon"": ""mdi:air-purifier""}",252314,2021-07-07 23:18:24.707856,2021-07-07 23:18:24.707856,2021-07-07 23:18:24.707856,
241681,sensor,sensor.sonoffht_temp,29.7,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",252547,2021-07-07 23:39:45.730610,2021-07-07 23:39:45.730610,2021-07-07 23:39:45.730610,241035.0
241703,sensor,sensor.sonoffht_humi,87.19,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",252571,2021-07-07 23:40:59.094473,2021-07-07 23:40:59.094473,2021-07-07 23:40:59.094473,241058.0
